USC00051932        8156R
USC00051939        9059R
USC00051948       10295Q
USC00051959       11383S
USC00051964        8117R
USC00051977        8724Q
USC00051996        6068R
USC00052184        9060S
USC00052192        6017R
USC00052196        5921R
USC00052223        5461R
USC00052281       10760S
USC00052286        6876S
USC00052342        6413Q
USC00052432        6428R
USC00052441        6814R
USC00052446        5757R
USC00052631        6632R
USC00052759        7558R
USC00052761        8321Q
USC00052790        7582S
USC00052816        9912Q
USC00052932        6211R
USC00052947        6398R
USC00052965        9346R
USC00053005        5918S
USC00053006        6393R
USC00053016        7915R
USC00053038        6820R
USC00053116       10824R
USC00053146        5878R
USC00053246        5013R
USC00053258        6397Q
USC00053261        8863R
USC00053307        6901R
USC00053359        6871R
USC00053387        7242Q
USC00053446       10738Q
USC00053489        5293S
USC00053496       10048C
USC00053500       10104S
USC00053530        9264S
USC00053541        7899S
USC00053553        5431S
USC00053592        9767R
USC00053629        7622Q
USC00053662       10174R
USC00053867        7937C
USC00053951       10497R
USC00054054        9516R
USC00054076        5635R
USC00054082        6550S
USC00054135       10191R
USC00054172        6542R
USC00054242        6213R
USC00054250        6788R
USC00054254        6914Q
USC00054380        6084R
USC00054388        5345R
USC00054413        5864R
USC00054444        5992R
USC00054452        5811R
USC00054538        5342R
USC00054546        5057R
USC00054603        6127R
USC00054606        6116R
USC00054664        9650R
USC00054724        5232R
USC00054726        5280S
USC00054734        9208R
USC00054742        9716S
USC00054762        5705S
USC00054770        5458S
USC00054834        5170S
USC00054934        8157S
USC00054945        6362S
USC00055025        6572R
USC00055056        5926R
USC00055116        6578R
USC00055236        6608R
USC00055322        8009S
USC00055327        7378R
USC00055402        5941R
USC00055414       10142R
USC00055422        7168R
USC00055427        6702R
USC00055446        8468R
USC00055484        8606R
USC00055507        9523R
USC00055531        6235S
USC00055706        8861R
USC00055722        6197S
USC00055734        7152R
USC00055797       11531R
USC00055922        6727R
USC00055934        8025R
USC00055970        7176R
USC00055984        5444R
USC00056012        7074S
USC00056023        6823R
USC00056040        8893Q
USC00056131        5972R
USC00056136        5867R
USC00056203        7902R
USC00056205        7522Q
USC00056258        7919R
USC00056259        7564Q
USC00056266        5335S
USC00056306        5997S
USC00056318        5637R
USC00056320        5963Q
USC00056323        6273R
USC00056326        5840R
USC00056520        7176Q
USC00056765        5195R
USC00056816        5985R
USC00056832        7393S
USC00056970        8997R
USC00056977        8899R
USC00057017        9543R
USC00057020        8017R
USC00057031        6243R
USC00057050       10552R
USC00057167        5111S
USC00057249        6271R
USC00057287        6583R
USC00057296        8641R
USC00057309        9474R
USC00057317        6531R
USC00057337        8067R
USC00057370        7331R
USC00057430        7359R
USC00057450       10551Q
USC00057515        6640S
USC00057519        6286Q
USC00057557        6492R
USC00057560        6506R
USC00057572        7087R
USC00057582        5881Q
USC00057656       10895R
USC00057848        9715R
USC00057866        5171R
USC00057936        9316S
USC00057950        6035R
USC00058008        6000R
USC00058022        6634R
USC00058064       10602R
USC00058157        5103S
USC00058184       11073R
USC00058204        9894S
USC00058290        5316R
USC00058429        5420S
USC00058436        6108R
USC00058501       10038R
USC00058560        5207R
USC00058575       10063R
USC00058582        8088R
USC00058690        8141R
USC00058756       10392S
USC00058781        5596S
USC00058793        5194S
USC00058839        6082S
USC00058860        8926Q
USC00058931        8294R
USC00058995        6045S
USC00059058        6163Q
USC00059060        6275Q
USC00059096       10146R
USC00059181       11584R
USC00059243        6057R
USC00059265        9423R
USC00059275        6153R
USC00059278        6488Q
USC00059295        5895S
USC00060227        6911R
USC00060808        5650Q
USC00060961        6267R
USC00060973        6318S
USC00061762        5832R
USC00062658        6965R
USC00063207        5380R
USC00063420        6532Q
USC00064488        6600R
USC00064767        5644R
USC00065077        5678R
USC00065445        7460S
USC00065910        5897S
USC00067373        7218R
USC00067958        6788Q
USC00067970        5443R
USC00068138        6320R
USC00069388        6727R
USC00069568        6854R
USC00071200        5045Q
USC00072730        4269S
USC00073570        4541R
USC00073595        4758R
USC00075320        3943S
USC00075915        4643R
USC00076410        4652R
USC00079605        4935S
USC00080228         594R
USC00080236         633S
USC00080369         585S
USC00080414          98Q
USC00080478         452S
USC00080598        1502Q
USC00080611         374R
USC00080737         412Q
USC00080945         494R
USC00080992         467Q
USC00081046         605R
USC00081163         899R
USC00081276         316R
USC00081306         124R
USC00081544        1670R
USC00081641         670R
USC00081651         453Q
USC00081654         320R
USC00081795          70P
USC00081858         194R
USC00081978         911R
USC00082008        1464R
USC00082046         102Q
USC00082150         865Q
USC00082220        1772R
USC00082229         948R
USC00082298         395S
USC00082418          63R
USC00082441          95R
USC00082850         222R
USC00082915         883R
USC00082944        1215S
USC00083020         172R
USC00083026         570Q
USC00083137         554R
USC00083153         616Q
USC00083163         194S
USC00083168         156R
USC00083207         454R
USC00083322        1290R
USC00083470        1562S
USC00083874        1229S
USC00083909         168S
USC00083956        1345R
USC00084050         186Q
USC00084095         207R
USC00084210         380R
USC00084289         979S
USC00084320          84Q
USC00084366         991R
USC00084394        1681S
USC00084412         123Q
USC00084461         269Q
USC00084625         652S
USC00084662         532R
USC00084707         625R
USC00084731        1325S
USC00084802         547R
USC00085076         917S
USC00085099        1181R
USC00085184         211R
USC00085275        1614S
USC00085359         481Q
USC00085539        1448S
USC00085667         170R
USC00085793        2079R
USC00085879        1717R
USC00085880        1581Q
USC00085895         408R
USC00085973         490R
USC00086065         471S
USC00086078         283R
USC00086129        1923Q
USC00086240        1954R
USC00086315         177Q
USC00086406         217R
USC00086414         809S
USC00086485         450R
USC00086618        1115R
USC00086657         487Q
USC00086764         353Q
USC00086767        1024R
USC00086828        1616Q
USC00086842        1377R
USC00086880         574R
USC00087020         264R
USC00087025        1269S
USC00087205         581S
USC00087228         971Q
USC00087254         207R
USC00087261         682Q
USC00087304         393Q
USC00087397         344S
USC00087429        1564R
USC00087760         131R
USC00087826         919S
USC00087851         548S
USC00087982         624S
USC00088076        1436Q
USC00088368         434Q
USC00088529        1325R
USC00088565        1406R
USC00088620         290R
USC00088756        1602Q
USC00088780         161R
USC00088824         630S
USC00088841          97R
USC00088942         582S
USC00089120        1203R
USC00089176         488R
USC00089219         474R
USC00089401         513S
USC00089430         854R
USC00089511         169Q
USC00089566        1676S
USC00089640        1343Q
USC00089707         421R
USC00090010        2248Q
USC00090140        2014S
USC00090181        3304R
USC00090219        3644R
USC00090236        3406R
USC00090253        2364R
USC00090311        2928S
USC00090406        2060R
USC00090586        1771R
USC00090603        3708Q
USC00090670        1953Q
USC00090969        4246R
USC00090979        2010R
USC00091266        2029S
USC00091340        1403S
USC00091448        2438R
USC00091463        1702Q
