"","station","htdd","hdd","qual","lat","long"
"5013","USC00475091","7843R",7843,"R",45.0983,-87.6236
"5014","USC00475120","8109S",8109,"S",44.6319,-90.1314
"5015","USC00475164","8180S",8180,"S",44.1747,-90.3483
"5016","USC00475178","7597R",7597,"R",43.79,-90.0597
"5017","USC00475255","8713S",8713,"S",45.1308,-90.3439
"5018","USC00475286","9186S",9186,"S",46.3689,-90.6417
"5019","USC00475335","8077C",8077,"C",44.8742,-91.9364
"5020","USC00475364","8758S",8758,"S",45.1786,-89.6617
"5021","USC00475474","6779S",6779,"S",43.0719,-88.0294
"5022","USC00475516","9635R",9635,"R",45.8864,-89.7322
"5023","USC00475525","9106R",9106,"R",46.0667,-91.8667
"5024","USC00475563","7828S",7828,"S",44.5647,-91.6719
"5025","USC00475581","7671R",7671,"R",43.7806,-89.3169
"5026","USC00475786","7833S",7833,"S",44.0261,-90.0814
"5027","USC00475808","8412S",8412,"S",44.5297,-90.6383
"5028","USC00475863","9008R",9008,"R",45.7833,-88.7
"5029","USC00475932","7976S",7976,"S",44.3589,-88.7189
"5030","USC00476122","9434R",9434,"R",45.6358,-89.2417
"5031","USC00476200","7247S",7247,"S",43.1003,-88.5036
"5032","USC00476208","8160S",8160,"S",44.8919,-87.955
"5033","USC00476330","7412R",7412,"R",44.0206,-88.5581
"5034","USC00476357","8909S",8909,"S",44.98,-90.5545
"5035","USC00476398","9108R",9108,"R",45.9336,-90.4506
"5036","USC00476413","9183R",9183,"R",46.5372,-92.1186
"5037","USC00476646","7333S",7333,"S",42.7489,-90.4656
"5038","USC00476678","7541S",7541,"S",43.73,-87.9714
"5039","USC00476718","7345S",7345,"S",43.5278,-89.4342
"5040","USC00476764","7334S",7334,"S",43.3944,-87.8636
"5041","USC00476772","9111R",9111,"R",46.7781,-91.3856
"5042","USC00476827","7144S",7144,"S",43.0514,-91.135
"5043","USC00476838","7357R",7357,"R",43.31,-89.7283
"5044","USC00476859","9104S",9104,"S",44.5447,-90.3017
"5045","USC00476922","6906S",6906,"S",42.7022,-87.7861
"5046","USC00476939","9333R",9333,"R",45.8342,-89.5472
"5047","USC00477052","7178R",7178,"R",43.5231,-90.0003
"5048","USC00477092","9399S",9399,"S",46.1222,-89.8772
"5049","USC00477113","8827S",8827,"S",45.5986,-89.4508
"5050","USC00477132","8598S",8598,"S",45.4164,-91.7719
"5051","USC00477158","7568S",7568,"S",43.3314,-90.3889
"5052","USC00477174","8807S",8807,"S",45.2142,-91.8875
"5053","USC00477226","8281C",8281,"C",44.8542,-92.6122
"5054","USC00477319","7295R",7295,"R",43.445,-89.9697
"5055","USC00477349","8612S",8612,"S",44.7511,-89.245
"5056","USC00477464","8048S",8048,"S",45.4117,-92.6464
"5057","USC00477480","9427S",9427,"S",45.9156,-89.4894
"5058","USC00477708","8177C",8177,"C",44.7631,-88.6183
"5059","USC00477725","6979R",6979,"R",43.75,-87.7167
"5060","USC00477892","8640S",8640,"S",46.3575,-91.8317
"5061","USC00477997","7638R",7638,"R",43.9364,-90.8164
"5062","USC00478027","8627S",8627,"S",45.8236,-91.8761
"5063","USC00478110","8340S",8340,"S",44.9686,-90.9389
"5064","USC00478171","8104S",8104,"S",44.5114,-89.5856
"5065","USC00478229","7237R",7237,"R",42.9108,-89.2133
"5066","USC00478267","7876S",7876,"S",44.8797,-87.3356
"5067","USC00478316","7348R",7348,"R",42.9675,-88.5497
"5068","USC00478349","8904S",8904,"S",46.7,-92.0167
"5069","USC00478376","8399R",8399,"R",44.9958,-88.3786
"5070","USC00478589","7266S",7266,"S",43.9994,-91.4378
"5071","USC00478672","7841S",7841,"S",44.1431,-87.5678
"5072","USC00478723","7127R",7127,"R",42.6903,-88.0336
"5073","USC00478827","8173S",8173,"S",43.5594,-90.8761
"5074","USC00478905","8127S",8127,"S",45.3581,-86.8911
"5075","USC00478919","7396S",7396,"S",43.1742,-88.7364
"5076","USC00478937","7362R",7362,"R",43.0064,-88.2492
"5077","USC00478951","7895S",7895,"S",44.3547,-89.0592
"5078","USC00479046","6689R",6689,"R",43.0175,-88.0017
"5079","USC00479050","7419R",7419,"R",43.3681,-88.0858
"5080","USC00479144","8883R",8883,"R",45.4425,-91.4181
"5081","USC00479190","7271S",7271,"S",42.8508,-88.7247
"5082","USC00479236","9204R",9204,"R",45.7081,-89.8489
"5083","USC00479304","9030R",9030,"R",45.8833,-91.07
"5084","USC00479319","7802S",7802,"S",43.6089,-89.7667
"5085","USC00479335","7757S",7757,"S",44.3881,-89.8056
"5086","USC00480027","8997R",8997,"R",42.7292,-110.9297
"5087","USC00480080","6692S",6692,"S",41.4,-104.1017
"5088","USC00480140","9185R",9185,"R",43.7728,-111.0339
"5089","USC00480270","7170R",7170,"R",41.1517,-104.6575
"5090","USC00480484","8194R",8194,"R",41.0389,-107.6575
"5091","USC00480540","7679R",7679,"R",44.38,-108.035
"5092","USC00480552","7866S",7866,"S",42.6339,-106.3775
"5093","USC00480603","9864S",9864,"S",42.8733,-110.9075
"5094","USC00480740","7558S",7558,"S",44.1242,-106.7319
"5095","USC00480761","8365R",8365,"R",41.5894,-108.5086
"5096","USC00480778","6928S",6928,"S",43.6561,-107.7375
"5097","USC00480865","11058R",11058,"R",43.2278,-110.4358
"5098","USC00480915","9610R",9610,"R",42.2128,-111.0456
